group,geneid
gon_tissue,102097573
gon_tissue,102097608
gon_tissue,102097622
gon_tissue,102097680
gon_tissue,102097711
gon_tissue,102097809
gon_tissue,102097916
gon_tissue,102097945
gon_tissue,102097990
gon_tissue,102097996
gon_tissue,102098009
gon_tissue,102098088
gon_tissue,102098121
gon_tissue,102098140
gon_tissue,102098166
gon_tissue,102098186
gon_tissue,102098205
gon_tissue,102098400
gon_tissue,102098425
gon_tissue,102098675
gon_tissue,102098717
gon_tissue,102098719
gon_tissue,102098796
gon_tissue,102098806
gon_tissue,102098846
gon_tissue,102098876
gon_tissue,102098932
gon_tissue,103758267
gon_tissue,103912300
gon_tissue,103924400
gon_tissue,104038178
gon_tissue,104460680
gon_tissue,105400779
gon_tissue,105402394
gon_tissue,105404489
gon_tissue,105412419
gon_tissue,106045078
gon_tissue,106145753
gon_tissue,106145841
gon_tissue,106145847
gon_tissue,106145849
gon_tissue,106145860
gon_tissue,106145954
gon_tissue,106145993
gon_tissue,106146014
gon_tissue,106146029
gon_tissue,106146041
gon_tissue,108497516
gon_tissue,110354870
gon_tissue,110354893
gon_tissue,110355335
gon_tissue,110356299
gon_tissue,110356441
gon_tissue,110356601
gon_tissue,110357013
gon_tissue,110358130
gon_tissue,110358223
gon_tissue,110358418
gon_tissue,110359685
gon_tissue,110360031
gon_tissue,110360834
gon_tissue,110361044
gon_tissue,110362310
gon_tissue,110363766
gon_tissue,110363815
gon_tissue,110364100
gon_tissue,110364716
gon_tissue,110365005
gon_tissue,110365137
gon_tissue,110365155
gon_tissue,110365333
gon_tissue,110365452
gon_tissue,110365753
gon_tissue,110365899
gon_tissue,110366014
gon_tissue,110366293
hatch_time,102092467
hyp_tissue,102083470
hyp_tissue,102083472
hyp_tissue,102083495
hyp_tissue,102083530
hyp_tissue,102083564
hyp_tissue,102083589
hyp_tissue,102083622
hyp_tissue,102083626
hyp_tissue,102083662
hyp_tissue,102083672
hyp_tissue,102083676
hyp_tissue,102083697
hyp_tissue,102083706
hyp_tissue,102083733
hyp_tissue,102083739
hyp_tissue,102083766
hyp_tissue,102083807
hyp_tissue,102083828
hyp_tissue,102083830
hyp_tissue,102083837
hyp_tissue,102083849
hyp_tissue,102083886
hyp_tissue,102083892
hyp_tissue,102083899
hyp_tissue,102083909
hyp_tissue,102083912
hyp_tissue,102083965
hyp_tissue,102083984
hyp_tissue,102084004
hyp_tissue,102084007
hyp_tissue,102084021
hyp_tissue,102084027
hyp_tissue,102084053
hyp_tissue,102084059
hyp_tissue,102084076
hyp_tissue,102084081
hyp_tissue,102084087
hyp_tissue,102084088
hyp_tissue,102084142
hyp_tissue,102084248
hyp_tissue,102084373
hyp_tissue,102084391
hyp_tissue,102084405
hyp_tissue,102084446
hyp_tissue,102084487
hyp_tissue,102084503
hyp_tissue,102084511
hyp_tissue,102084555
hyp_tissue,102084556
hyp_tissue,102084573
hyp_tissue,102084611
hyp_tissue,102084616
hyp_tissue,102084621
hyp_tissue,102084668
hyp_tissue,102084672
hyp_tissue,102084674
hyp_tissue,102084677
hyp_tissue,102084730
hyp_tissue,102084768
hyp_tissue,102084802
hyp_tissue,102084810
hyp_tissue,102084823
hyp_tissue,102084832
hyp_tissue,102084852
hyp_tissue,102084893
hyp_tissue,102084899
hyp_tissue,102084939
hyp_tissue,102084955
hyp_tissue,102085019
hyp_tissue,102085040
hyp_tissue,102085043
hyp_tissue,102085055
hyp_tissue,102085056
hyp_tissue,102085109
hyp_tissue,102085196
hyp_tissue,102085202
hyp_tissue,102085203
hyp_tissue,102085232
hyp_tissue,102085234
hyp_tissue,102085259
hyp_tissue,102085291
hyp_tissue,102085307
hyp_tissue,102085316
hyp_tissue,102085329
hyp_tissue,102085333
hyp_tissue,102085338
hyp_tissue,102085396
hyp_tissue,102085400
hyp_tissue,102085426
hyp_tissue,102085429
hyp_tissue,102085477
hyp_tissue,102085507
hyp_tissue,102085559
hyp_tissue,102085560
hyp_tissue,102085569
hyp_tissue,102085576
hyp_tissue,102085582
hyp_tissue,102085607
hyp_tissue,102085642
hyp_tissue,102085658
hyp_tissue,102085664
hyp_tissue,102085679
hyp_tissue,102085685
hyp_tissue,102085730
hyp_tissue,102085749
hyp_tissue,102085788
hyp_tissue,102085800
hyp_tissue,102085841
hyp_tissue,102085852
hyp_tissue,102085953
hyp_tissue,102085954
hyp_tissue,102085962
hyp_tissue,102085969
hyp_tissue,102085973
hyp_tissue,102085996
hyp_tissue,102085997
hyp_tissue,102086031
hyp_tissue,102086070
hyp_tissue,102086089
hyp_tissue,102086137
hyp_tissue,102086170
hyp_tissue,102086277
hyp_tissue,102086362
hyp_tissue,102086408
hyp_tissue,102086416
hyp_tissue,102086426
hyp_tissue,102086428
hyp_tissue,102086452
hyp_tissue,102086494
hyp_tissue,102086497
hyp_tissue,102086573
hyp_tissue,102086680
hyp_tissue,102086770
hyp_tissue,102086803
hyp_tissue,102086805
hyp_tissue,102086867
hyp_tissue,102086869
hyp_tissue,102086880
hyp_tissue,102086881
hyp_tissue,102086896
hyp_tissue,102086921
hyp_tissue,102086940
hyp_tissue,102086960
hyp_tissue,102086994
hyp_tissue,102086995
hyp_tissue,102087018
hyp_tissue,102087061
hyp_tissue,102087076
hyp_tissue,102087082
hyp_tissue,102087093
hyp_tissue,102087116
hyp_tissue,102087137
hyp_tissue,102087244
hyp_tissue,102087296
hyp_tissue,102087390
hyp_tissue,102087407
hyp_tissue,102087490
hyp_tissue,102087600
hyp_tissue,102087612
hyp_tissue,102087626
hyp_tissue,102087679
hyp_tissue,102087684
hyp_tissue,102087706
hyp_tissue,102087749
hyp_tissue,102087793
hyp_tissue,102087815
hyp_tissue,102087838
hyp_tissue,102087873
hyp_tissue,102087877
hyp_tissue,102087925
hyp_tissue,102087951
hyp_tissue,102087990
hyp_tissue,102088013
hyp_tissue,102088030
hyp_tissue,102088035
hyp_tissue,102088058
hyp_tissue,102088064
hyp_tissue,102088066
hyp_tissue,102088082
hyp_tissue,102088086
hyp_tissue,102088139
hyp_tissue,102088150
hyp_tissue,102088172
hyp_tissue,102088178
hyp_tissue,102088179
hyp_tissue,102088212
hyp_tissue,102088229
hyp_tissue,102088239
hyp_tissue,102088248
hyp_tissue,102088262
hyp_tissue,102088356
hyp_tissue,102088415
hyp_tissue,102088422
hyp_tissue,102088495
hyp_tissue,102088501
hyp_tissue,102088528
hyp_tissue,102088538
hyp_tissue,102088571
hyp_tissue,102088618
hyp_tissue,102088653
hyp_tissue,102088671
hyp_tissue,102088700
hyp_tissue,102088732
hyp_tissue,102088735
hyp_tissue,102088759
hyp_tissue,102088792
hyp_tissue,102088822
hyp_tissue,102088907
hyp_tissue,102088965
hyp_tissue,102088974
hyp_tissue,102088984
hyp_tissue,102089000
hyp_tissue,102089007
hyp_tissue,102089076
hyp_tissue,102089077
hyp_tissue,102089086
hyp_tissue,102089097
hyp_tissue,102089101
hyp_tissue,102089166
hyp_tissue,102089290
hyp_tissue,102089316
hyp_tissue,102089340
hyp_tissue,102089353
hyp_tissue,102089363
hyp_tissue,102089384
hyp_tissue,102089451
hyp_tissue,102089511
hyp_tissue,102089528
hyp_tissue,102089574
hyp_tissue,102089579
hyp_tissue,102089582
hyp_tissue,102089587
hyp_tissue,102089594
hyp_tissue,102089682
hyp_tissue,102089772
hyp_tissue,102089777
hyp_tissue,102089809
hyp_tissue,102089910
hyp_tissue,102089911
hyp_tissue,102089940
hyp_tissue,102090019
hyp_tissue,102090039
hyp_tissue,102090054
hyp_tissue,102090076
hyp_tissue,102090087
hyp_tissue,102090095
hyp_tissue,102090113
hyp_tissue,102090156
hyp_tissue,102090161
hyp_tissue,102090171
hyp_tissue,102090209
hyp_tissue,102090214
hyp_tissue,102090225
hyp_tissue,102090237
hyp_tissue,102090239
hyp_tissue,102090268
hyp_tissue,102090283
hyp_tissue,102090312
hyp_tissue,102090360
hyp_tissue,102090423
hyp_tissue,102090429
hyp_tissue,102090456
hyp_tissue,102090499
hyp_tissue,102090500
hyp_tissue,102090520
hyp_tissue,102090542
hyp_tissue,102090543
hyp_tissue,102090630
hyp_tissue,102090702
hyp_tissue,102090710
hyp_tissue,102090727
hyp_tissue,102090738
hyp_tissue,102090767
hyp_tissue,102090780
hyp_tissue,102090808
hyp_tissue,102090826
hyp_tissue,102090877
hyp_tissue,102090887
hyp_tissue,102090900
hyp_tissue,102090905
hyp_tissue,102090937
hyp_tissue,102090951
hyp_tissue,102090988
hyp_tissue,102090990
hyp_tissue,102091042
hyp_tissue,102091078
hyp_tissue,102091102
hyp_tissue,102091111
hyp_tissue,102091138
hyp_tissue,102091160
hyp_tissue,102091163
hyp_tissue,102091185
hyp_tissue,102091200
hyp_tissue,102091216
hyp_tissue,102091222
hyp_tissue,102091248
hyp_tissue,102091249
hyp_tissue,102091271
hyp_tissue,102091278
hyp_tissue,102091357
hyp_tissue,102091397
hyp_tissue,102091435
hyp_tissue,102091439
hyp_tissue,102091473
hyp_tissue,102091477
hyp_tissue,102091494
hyp_tissue,102091519
hyp_tissue,102091533
hyp_tissue,102091545
hyp_tissue,102091563
hyp_tissue,102091564
hyp_tissue,102091597
hyp_tissue,102091625
hyp_tissue,102091626
hyp_tissue,102091671
hyp_tissue,102091709
hyp_tissue,102091732
hyp_tissue,102091785
hyp_tissue,102091794
hyp_tissue,102091799
hyp_tissue,102091813
hyp_tissue,102091933
hyp_tissue,102091969
hyp_tissue,102091971
hyp_tissue,102091978
hyp_tissue,102092034
hyp_tissue,102092060
hyp_tissue,102092073
hyp_tissue,102092109
hyp_tissue,102092137
hyp_tissue,102092167
hyp_tissue,102092182
hyp_tissue,102092192
hyp_tissue,102092221
hyp_tissue,102092244
hyp_tissue,102092265
hyp_tissue,102092267
hyp_tissue,102092287
hyp_tissue,102092297
hyp_tissue,102092300
hyp_tissue,102092348
hyp_tissue,102092349
hyp_tissue,102092408
hyp_tissue,102092459
hyp_tissue,102092485
hyp_tissue,102092518
hyp_tissue,102092522
hyp_tissue,102092554
hyp_tissue,102092580
hyp_tissue,102092603
hyp_tissue,102092605
hyp_tissue,102092635
hyp_tissue,102092669
hyp_tissue,102092671
hyp_tissue,102092676
hyp_tissue,102092702
hyp_tissue,102092722
hyp_tissue,102092761
hyp_tissue,102092779
hyp_tissue,102092848
hyp_tissue,102092940
hyp_tissue,102092942
hyp_tissue,102092947
hyp_tissue,102092972
hyp_tissue,102093006
hyp_tissue,102093024
hyp_tissue,102093121
hyp_tissue,102093122
hyp_tissue,102093154
hyp_tissue,102093169
hyp_tissue,102093174
hyp_tissue,102093175
hyp_tissue,102093178
hyp_tissue,102093260
hyp_tissue,102093261
hyp_tissue,102093288
hyp_tissue,102093308
hyp_tissue,102093428
hyp_tissue,102093432
hyp_tissue,102093478
hyp_tissue,102093488
hyp_tissue,102093519
hyp_tissue,102093521
hyp_tissue,102093525
hyp_tissue,102093557
hyp_tissue,102093572
hyp_tissue,102093574
hyp_tissue,102093605
hyp_tissue,102093611
hyp_tissue,102093697
hyp_tissue,102093699
hyp_tissue,102093730
hyp_tissue,102093733
hyp_tissue,102093767
hyp_tissue,102093790
hyp_tissue,102093802
hyp_tissue,102093814
hyp_tissue,102093817
hyp_tissue,102093862
hyp_tissue,102093864
hyp_tissue,102093877
hyp_tissue,102093888
hyp_tissue,102093940
